epoch,loss,w,b,grad_norm
139,0.0123328,2.0802,0.741916,0.436159
140,0.0120249,2.0792,0.745158,0.43068
141,0.0117247,2.0782,0.748359,0.425271
142,0.011432,2.07722,0.751519,0.419929
143,0.0111467,2.07625,0.754641,0.414655
144,0.0108684,2.07529,0.757722,0.409446
145,0.0105971,2.07435,0.760765,0.404304
146,0.0103326,2.07341,0.76377,0.399225
147,0.0100746,2.07249,0.766738,0.394211
148,0.00982314,2.07158,0.769667,0.389259
149,0.00957792,2.07068,0.772561,0.38437
150,0.00933882,2.06979,0.775417,0.379542
151,0.0091057,2.06892,0.778238,0.374775
152,0.00887839,2.06805,0.781024,0.370068
153,0.00865676,2.0672,0.783774,0.365419
154,0.00844066,2.06635,0.78649,0.36083
155,0.00822995,2.06552,0.789172,0.356297
156,0.00802451,2.0647,0.79182,0.351822
157,0.00782419,2.06388,0.794435,0.347403
158,0.00762887,2.06308,0.797017,0.34304
159,0.00743843,2.06229,0.799566,0.338731
160,0.00725274,2.06151,0.802084,0.334476
161,0.00707169,2.06073,0.80457,0.330275
162,0.00689516,2.05997,0.807024,0.326127
163,0.00672304,2.05922,0.809448,0.32203
164,0.00655521,2.05847,0.811842,0.317985
165,0.00639157,2.05774,0.814205,0.313991
166,0.00623201,2.05701,0.816539,0.310047
167,0.00607644,2.0563,0.818843,0.306153
168,0.00592476,2.05559,0.821118,0.302308
169,0.00577686,2.05489,0.823365,0.298511
170,0.00563265,2.0542,0.825584,0.294761
171,0.00549204,2.05352,0.827775,0.291059
172,0.00535494,2.05285,0.829938,0.287403
173,0.00522126,2.05219,0.832074,0.283793
174,0.00509092,2.05153,0.834183,0.280228
175,0.00496384,2.05088,0.836266,0.276709
176,0.00483992,2.05024,0.838323,0.273233
177,0.0047191,2.04961,0.840353,0.269801
178,0.0046013,2.04899,0.842358,0.266412
179,0.00448644,2.04837,0.844339,0.263066
180,0.00437444,2.04777,0.846294,0.259762
181,0.00426524,2.04717,0.848224,0.256499
182,0.00415877,2.04657,0.850131,0.253277
183,0.00405495,2.04599,0.852013,0.250096
184,0.00395373,2.04541,0.853872,0.246955
185,0.00385503,2.04484,0.855707,0.243853
186,0.0037588,2.04428,0.85752,0.24079
187,0.00366496,2.04372,0.859309,0.237766
188,0.00357347,2.04317,0.861077,0.234779
189,0.00348427,2.04263,0.862821,0.23183
190,0.00339729,2.0421,0.864544,0.228918
191,0.00331248,2.04157,0.866246,0.226043
192,0.00322979,2.04104,0.867926,0.223204
193,0.00314917,2.04053,0.869585,0.2204
194,0.00307055,2.04002,0.871223,0.217632
195,0.0029939,2.03952,0.87284,0.214898
196,0.00291917,2.03902,0.874438,0.212199
197,0.00284629,2.03853,0.876015,0.209534
198,0.00277524,2.03805,0.877572,0.206902
199,0.00270596,2.03757,0.87911,0.204303
200,0.00263841,2.0371,0.880628,0.201737
201,0.00257255,2.03663,0.882128,0.199203
202,0.00250833,2.03617,0.883608,0.196701
203,0.00244572,2.03572,0.88507,0.19423
204,0.00238466,2.03527,0.886514,0.191791
205,0.00232513,2.03483,0.887939,0.189382
206,0.00226709,2.03439,0.889347,0.187003
207,0.0022105,2.03396,0.890736,0.184654
208,0.00215532,2.03353,0.892109,0.182335
209,0.00210151,2.03311,0.893464,0.180045
210,0.00204905,2.03269,0.894802,0.177783
211,0.0019979,2.03228,0.896123,0.17555
212,0.00194803,2.03188,0.897428,0.173345
213,0.0018994,2.03148,0.898717,0.171168
214,0.00185198,2.03108,0.899989,0.169018
215,0.00180575,2.03069,0.901245,0.166895
216,0.00176067,2.0303,0.902485,0.164799
217,0.00171672,2.02992,0.90371,0.162729
218,0.00167387,2.02955,0.90492,0.160685
219,0.00163208,2.02918,0.906114,0.158666
220,0.00159134,2.02881,0.907293,0.156674
221,0.00155162,2.02845,0.908458,0.154706
222,0.00151288,2.02809,0.909607,0.152762
223,0.00147512,2.02774,0.910743,0.150844
224,0.00143829,2.02739,0.911864,0.148949
225,0.00140239,2.02705,0.912971,0.147078
226,0.00136738,2.02671,0.914064,0.145231
227,0.00133325,2.02637,0.915143,0.143407
228,0.00129996,2.02604,0.916209,0.141605
229,0.00126751,2.02571,0.917262,0.139827
230,0.00123587,2.02539,0.918301,0.13807
231,0.00120502,2.02507,0.919327,0.136336
232,0.00117494,2.02476,0.92034,0.134624
233,0.00114561,2.02444,0.921341,0.132933
234,0.00111701,2.02414,0.922329,0.131263
235,0.00108913,2.02383,0.923305,0.129614
236,0.00106194,2.02354,0.924268,0.127986
237,0.00103543,2.02324,0.925219,0.126379
238,0.00100958,2.02295,0.926158,0.124791
239,0.000984379,2.02266,0.927086,0.123224
240,0.000959806,2.02237,0.928002,0.121676
241,0.000935846,2.02209,0.928906,0.120148
242,0.000912485,2.02182,0.929799,0.118639
243,0.000889706,2.02154,0.930681,0.117149
244,0.000867496,2.02127,0.931551,0.115677
245,0.000845841,2.021,0.932411,0.114224
246,0.000824726,2.02074,0.93326,0.11279
247,0.000804138,2.02048,0.934098,0.111373
248,0.000784064,2.02022,0.934926,0.109974
249,0.000764491,2.01997,0.935744,0.108593
250,0.000745407,2.01972,0.936551,0.107229
251,0.0007268,2.01947,0.937348,0.105882
252,0.000708656,2.01923,0.938135,0.104552
253,0.000690966,2.01898,0.938912,0.103239
254,0.000673717,2.01875,0.939679,0.101942
255,0.000656899,2.01851,0.940437,0.100661
256,0.000640501,2.01828,0.941185,0.0993971
257,0.000624512,2.01805,0.941923,0.0981487
258,0.000608922,2.01782,0.942653,0.0969159
259,0.000593721,2.0176,0.943373,0.0956985
260,0.0005789,2.01738,0.944085,0.0944965
261,0.000564449,2.01716,0.944787,0.0933096
262,0.000550359,2.01694,0.94548,0.0921376
263,0.00053662,2.01673,0.946165,0.0909803
264,0.000523224,2.01652,0.946841,0.0898375
